,nfe,hypervolume,epsilon_indicator,seed
0,100,0.0013969552030704715,1.0,70
1,200,0.002207330850408178,1.0,70
2,300,0.004888999068583366,0.7593262804859815,70
3,400,0.011436715802915234,0.8557980826259473,70
4,500,0.013169705715987847,0.6385798961440848,70
5,100,0.0005052758152152319,0.7837789295710877,80
6,200,0.0033900451415117628,0.7014967206677786,80
7,300,0.010531725627747854,0.6672850297265002,80
8,400,0.015931159037929785,0.6672850297265002,80
9,500,0.01963941443875355,0.6672850297265002,80
10,100,-0.0005576839019593135,0.744260408864748,30
11,200,0.004929590301518044,0.7393194413290185,30
12,300,0.014298978831008623,0.7393194413290185,30
13,400,0.020163339632571498,0.6757299804575781,30
14,500,0.030063222423162644,0.6757299804575781,30
15,100,0.0010167028030412572,0.716127930819096,60
16,200,0.004280401554882296,0.6803859426709379,60
17,300,0.011122077774489487,0.6803859426709379,60
18,400,0.01632719853832429,0.6803859426709379,60
19,500,0.020762409949266588,0.6803859426709379,60
20,100,0.00038616728605395524,1.0,90
21,200,0.0009749249974950716,0.756459194028736,90
22,300,0.0013381146925618252,0.7222713458034323,90
23,400,0.007949148025931394,0.6970089074427203,90
24,500,0.011445819454877387,0.6970089074427203,90
25,100,-3.0861911307569434e-05,0.7290490906358814,20
26,200,-0.00036401461351297985,0.7232019845813145,20
27,300,0.0027970060643096187,0.6265871346631215,20
28,400,0.0032623587916803206,0.6265871346631215,20
29,500,0.013334592107667667,0.6265871346631215,20
30,100,-0.0002733812175833715,0.7684068051466797,50
31,200,0.0053100512125606285,0.6933210761732576,50
32,300,0.005783037424789169,0.6933210761732576,50
33,400,0.008772134304983675,0.6758496933504439,50
34,500,0.017512953810254573,0.6758496933504439,50
35,100,0.0005661196866703733,0.7056072008362172,10
36,200,0.005427845045544139,0.7074831183120255,10
37,300,0.007006295116345021,0.6533725597238644,10
38,400,0.009215124973212446,0.6533725597238644,10
39,500,0.013849671306600177,0.6533725597238644,10
40,100,0.0002933965937530483,0.7251895598227707,100
41,200,0.0018865166903701282,0.7251895598227707,100
42,300,0.003894990194137919,0.7115744850917625,100
43,400,0.008026691539614658,0.6899758444318622,100
44,500,0.013799203831527662,0.6494342040075102,100
45,100,0.0006975204593504781,0.6102043740095788,40
46,200,0.001298836256254668,0.5222690895039176,40
47,300,0.00410960336167766,0.4815740123324777,40
48,400,0.00928319082293418,0.4815740123324777,40
49,500,0.015803831927765705,0.4815740123324777,40
