,nfe,hypervolume,seed
0,100,2.7623835176069527e-06,70
1,200,3.850917732374954e-06,70
2,300,1.5763144417189458e-05,70
3,400,3.471678554001078e-05,70
4,500,0.0001651936132486913,70
5,600,0.00022371987075549938,70
6,700,0.0002453455652717068,70
7,800,0.00043807478014115225,70
8,900,0.0004906759693357178,70
9,1000,0.0006513002859555244,70
10,1100,0.0008005208703036363,70
11,1200,0.000846595004734658,70
12,1300,0.0009199743169243487,70
13,1400,0.0009661186975555703,70
14,1500,0.0011166225255268129,70
15,1600,0.0012478660918256877,70
16,1700,0.0013568299403447061,70
17,1800,0.0014109993906043468,70
18,1900,0.001500045720485493,70
19,2000,0.00150634131572195,70
20,2100,0.0015471495114311984,70
21,2200,0.001565422663374137,70
22,2300,0.0016145540489798417,70
23,2400,0.0016351133028843527,70
24,2500,0.001645378853283802,70
25,2600,0.001667182069860928,70
26,2700,0.0016807356835893414,70
27,2800,0.0017624783826326348,70
28,2900,0.0017973478488184456,70
29,3000,0.00190815566603768,70
30,3100,0.0019658014475254382,70
31,3200,0.0020027620000082676,70
32,3300,0.0020177532603343432,70
33,3400,0.0020456414301763225,70
34,3500,0.002068403927210977,70
35,3600,0.002100724863527544,70
36,3700,0.0021088215202243175,70
37,3800,0.002126833305798044,70
38,3900,0.0021425624685719306,70
39,4000,0.0021501508205480748,70
40,4100,0.002206057726746708,70
41,4200,0.0022688255533148054,70
42,4300,0.002281337464480664,70
43,4400,0.0023023395200762486,70
44,4500,0.0023296314575072196,70
45,4600,0.0023463618640111924,70
46,4700,0.002412307140339921,70
47,4800,0.0024132816055444,70
48,4900,0.0024173073391742413,70
49,5000,0.002419843998321833,70
50,5100,0.0024271850675164483,70
51,5200,0.002447949805174773,70
52,5300,0.0024773567645301007,70
53,5400,0.0025016286159706093,70
54,5500,0.0025017185934528064,70
55,5600,0.0025040252417295955,70
56,5700,0.002531998011989915,70
57,5800,0.0025897568259073524,70
58,5900,0.0025981443364788497,70
59,6000,0.002612922400744528,70
60,6100,0.0026134048596901495,70
61,6200,0.0026138793880484943,70
62,6300,0.00262904185788505,70
63,6400,0.0026366015521151866,70
64,6500,0.0026366731797876092,70
65,6600,0.0026590359842313003,70
66,6700,0.0026844241428546217,70
67,6800,0.002688113617171618,70
68,6900,0.0027041201428209187,70
69,7000,0.0027072834892366633,70
70,7100,0.00275220416988547,70
71,7200,0.0027572848339021596,70
72,7300,0.002759964293958114,70
73,7400,0.002761122004726593,70
74,7500,0.0028262633196368602,70
75,7600,0.002827556692653658,70
76,7700,0.002827556692653658,70
77,7800,0.0028387385473196964,70
78,7900,0.0028387385473196964,70
79,8000,0.0028637812962000976,70
80,8100,0.0028658857477799962,70
81,8200,0.0028881373060151466,70
82,8300,0.002961879852610149,70
83,8400,0.0029653498493684557,70
84,8500,0.002967851967459098,70
85,8600,0.0029847486643446624,70
86,8700,0.0029969290081978796,70
87,8800,0.003002651596534536,70
88,8900,0.003025898325463254,70
89,9000,0.003025943947536579,70
90,9100,0.00302848571039425,70
91,9200,0.0030286038754133945,70
92,9300,0.003033101620898654,70
93,9400,0.003034151701191765,70
94,9500,0.0030342234585329112,70
95,9600,0.0030704149205706154,70
96,9700,0.0030703273286781666,70
97,9800,0.0030703287123790644,70
98,9900,0.0030800275868039855,70
99,10276,0.0030891602457201613,70
100,10644,0.0031533908035084146,70
101,11012,0.0031680393602901095,70
102,11380,0.0031846765327339078,70
103,11748,0.003220301277597487,70
104,12116,0.0032508587875955683,70
105,12484,0.0032913571408693713,70
106,12852,0.0033321273373023434,70
107,13220,0.00340207061216401,70
108,13588,0.0034151543419592423,70
109,13956,0.0034447552299585204,70
110,14324,0.003474991223456669,70
111,14692,0.003481292605964331,70
112,15060,0.003502390818475203,70
113,15428,0.003512450827517062,70
114,15796,0.0035791756445268325,70
115,16164,0.0035888117808704958,70
116,16532,0.003610524902166256,70
117,16900,0.003616298346894173,70
118,17268,0.003631520964569872,70
119,17636,0.003641523199401445,70
120,18004,0.00368146336645606,70
121,18372,0.0036870573548077505,70
122,18740,0.0037031240825818757,70
123,19108,0.003707256638856079,70
124,19476,0.0037285624227277113,70
125,19844,0.003750691796889073,70
126,20212,0.0037578680340224404,70
127,20580,0.00375961482712939,70
128,20948,0.003762521655657823,70
129,21316,0.0037644452165515254,70
130,21684,0.0037733552291765306,70
131,22052,0.0037932475356948305,70
132,22420,0.00379500050596069,70
133,22788,0.003854674785315459,70
134,23156,0.0038687314971859858,70
135,23524,0.003888046604853601,70
136,23892,0.0039355877856179534,70
137,24260,0.003940096864351313,70
138,24628,0.0039748176364271404,70
139,24996,0.003982146594809624,70
140,25364,0.00398479388863519,70
141,25732,0.003990516524158804,70
142,26100,0.004002277212854333,70
143,26468,0.004005773670707687,70
144,26836,0.004007491587486361,70
145,27204,0.004014180305147448,70
146,27572,0.004024852060355435,70
147,27940,0.0040546183660485876,70
148,28308,0.004068229903775096,70
149,28676,0.0040764749438086025,70
150,29044,0.004090441348449127,70
151,29412,0.0041109894123933085,70
152,29780,0.004126782844939444,70
153,30148,0.0041346682515764205,70
154,30516,0.004147632882701231,70
155,30884,0.004158471746879205,70
156,31252,0.00416780661014709,70
157,31620,0.0041740618036611235,70
158,31988,0.0041796925889980175,70
159,32356,0.004194020151939584,70
160,32724,0.004209854629596192,70
161,33092,0.004211436728518781,70
162,33460,0.004219103850877708,70
163,33828,0.004219546057357096,70
164,34196,0.004230421677800222,70
165,34564,0.004231633100767388,70
166,34932,0.004234811352452411,70
167,35300,0.004266614863144391,70
