,nfe,gd,seed
0,100,0.21565356120814688,70
1,200,0.15949810328497815,70
2,300,0.13506861732651904,70
3,400,0.10286523233915607,70
4,500,0.09082144600686642,70
5,600,0.07910525731539791,70
6,700,0.1002136815753984,70
7,800,0.08273787724500202,70
8,900,0.06738740388274496,70
9,1000,0.06443727591002847,70
10,1100,0.056583905377544944,70
11,1200,0.057205154733643716,70
12,1300,0.06398680340520724,70
13,1400,0.05927825926864458,70
14,1500,0.0539769887576347,70
15,1600,0.05660666026849325,70
16,1700,0.05182259867205531,70
17,1800,0.05068271611237885,70
18,1900,0.04796028589449551,70
19,2000,0.049095558712413195,70
20,2100,0.049258034640827966,70
21,2200,0.04758612162884463,70
22,2300,0.046185845818325216,70
23,2400,0.04609074620785453,70
24,2500,0.043992748176637085,70
25,2600,0.045213136144155563,70
26,2700,0.04546299006704418,70
27,2800,0.04609056499917825,70
28,2900,0.04522908008929078,70
29,3000,0.0448836802816948,70
30,3100,0.043806394475896765,70
31,3200,0.04301136488221961,70
32,3300,0.04307245357125392,70
33,3400,0.04433129477289757,70
34,3500,0.04477199612802955,70
35,3600,0.043470895595298126,70
36,3700,0.0437855647686716,70
37,3800,0.04386849827049198,70
38,3900,0.043389160791161036,70
39,4000,0.04514016541940508,70
40,4100,0.04526727011982372,70
41,4200,0.04527226891042569,70
42,4300,0.044057610290835644,70
43,4400,0.04347233849698996,70
44,4500,0.04356580341668884,70
45,4600,0.043391552768616705,70
46,4700,0.04392074545335997,70
47,4800,0.043430872405894404,70
48,4900,0.04314623039449107,70
49,5000,0.04335808720959181,70
50,5100,0.04259718948270082,70
51,5200,0.04254140810043974,70
52,5300,0.04277295405541764,70
53,5400,0.04226069495814952,70
54,5500,0.04249871277842246,70
55,5600,0.04245183631654544,70
56,5700,0.04216562127832685,70
57,5800,0.04602155975659288,70
58,5900,0.047268862747229225,70
59,6000,0.045831219949593015,70
60,6100,0.04597721772671157,70
61,6200,0.04493225831038436,70
62,6300,0.044333593381669846,70
63,6400,0.044804139705215885,70
64,6500,0.044846201160353365,70
65,6600,0.04424238248869318,70
66,6700,0.0441965928662366,70
67,6800,0.043944213608593734,70
