,nfe,ei,seed
0,100,0.6666889763089453,70
1,200,0.6666889763089453,70
2,300,0.6409801856991454,70
3,400,0.6233885587293301,70
4,500,0.6233885587293301,70
5,600,0.6015609421451563,70
6,700,0.6015609421451563,70
7,800,0.6015609421451563,70
8,900,0.6015609421451563,70
9,1000,0.6015609421451563,70
10,1100,0.6015609421451563,70
11,1200,0.6015609421451563,70
12,1300,0.6015609421451563,70
13,1400,0.6015609421451563,70
14,1500,0.6015609421451563,70
15,1600,0.6015609421451563,70
16,1700,0.6015609421451563,70
17,1800,0.6015609421451563,70
18,1900,0.6015609421451563,70
19,2000,0.6015609421451563,70
20,2100,0.6015609421451563,70
21,2200,0.6015609421451563,70
22,2300,0.6015609421451563,70
23,2400,0.6015609421451563,70
24,2500,0.4800489100528602,70
25,2600,0.4800489100528602,70
26,2700,0.4800489100528602,70
27,2800,0.4800489100528602,70
28,2900,0.4800489100528602,70
29,3000,0.4800489100528602,70
30,3100,0.4800489100528602,70
31,3200,0.4800489100528602,70
32,3300,0.4800489100528602,70
33,3400,0.4800489100528602,70
34,3500,0.4800489100528602,70
35,3600,0.4800489100528602,70
36,3700,0.4800489100528602,70
37,3800,0.4800489100528602,70
38,3900,0.4800489100528602,70
39,4000,0.4800489100528602,70
40,4100,0.4742055452698809,70
41,4200,0.4651198426951684,70
42,4300,0.4651198426951684,70
43,4400,0.4651198426951684,70
44,4500,0.4651198426951684,70
45,4600,0.4651198426951684,70
46,4700,0.4651198426951684,70
47,4800,0.4651198426951684,70
48,4900,0.4651198426951684,70
49,5000,0.4651198426951684,70
50,5100,0.4651198426951684,70
51,5200,0.4651198426951684,70
52,5300,0.4651198426951684,70
53,5400,0.4651198426951684,70
54,5500,0.4651198426951684,70
55,5600,0.4651198426951684,70
56,5700,0.4651198426951684,70
57,5800,0.4651198426951684,70
58,5900,0.4650588663092651,70
59,6000,0.4650588663092651,70
60,6100,0.4650588663092651,70
61,6200,0.4650588663092651,70
62,6300,0.4650588663092651,70
63,6400,0.4650588663092651,70
64,6500,0.4650588663092651,70
65,6600,0.4650588663092651,70
66,6700,0.4650588663092651,70
67,6800,0.4650588663092651,70
68,6900,0.4650588663092651,70
69,7000,0.4650588663092651,70
70,7100,0.4650588663092651,70
71,7200,0.4581381041925767,70
72,7300,0.4581381041925767,70
73,7400,0.4581381041925767,70
74,7500,0.4581381041925767,70
75,7600,0.4581381041925767,70
76,7700,0.4581381041925767,70
77,7800,0.4581381041925767,70
78,7900,0.4581381041925767,70
79,8000,0.4581381041925767,70
80,8100,0.41026700732691324,70
81,8200,0.41026700732691324,70
82,8300,0.41026700732691324,70
83,8400,0.41026700732691324,70
84,8500,0.41026700732691324,70
85,8600,0.41026700732691324,70
86,8700,0.41026700732691324,70
87,8800,0.41026700732691324,70
88,8900,0.41026700732691324,70
89,9000,0.41026700732691324,70
90,9100,0.41026700732691324,70
91,9200,0.41026700732691324,70
92,9300,0.41026700732691324,70
93,9400,0.41026700732691324,70
94,9500,0.41026700732691324,70
95,9600,0.41026700732691324,70
96,9700,0.41026700732691324,70
97,9800,0.4048497194211286,70
98,9900,0.4048497194211286,70
99,10534,0.4048497194211286,70
100,11246,0.4048497194211286,70
101,11958,0.4048497194211286,70
102,12670,0.4048497194211286,70
103,13382,0.4048497194211286,70
104,14094,0.4005316862003394,70
105,14806,0.4005316862003394,70
106,15518,0.4005316862003394,70
107,16230,0.39677336765106697,70
108,16942,0.39677336765106697,70
109,17654,0.39677336765106697,70
110,18366,0.3948962809465515,70
111,19078,0.3948962809465515,70
112,19790,0.3948962809465515,70
113,20502,0.3948962809465515,70
114,21214,0.3948962809465515,70
115,21926,0.3948962809465515,70
116,22638,0.3948962809465515,70
117,23350,0.3948962809465515,70
118,24062,0.3948962809465515,70
119,24774,0.3948962809465515,70
120,25486,0.39085580551340693,70
121,26198,0.39085580551340693,70
122,26910,0.39085580551340693,70
123,27622,0.39085580551340693,70
124,28334,0.39085580551340693,70
125,29046,0.39085580551340693,70
126,29758,0.39085580551340693,70
127,30470,0.39085580551340693,70
128,31182,0.39085580551340693,70
129,31894,0.39085580551340693,70
130,32606,0.39085580551340693,70
131,33318,0.39085580551340693,70
132,34030,0.39085580551340693,70
133,34742,0.39085580551340693,70
134,35454,0.39085580551340693,70
135,36166,0.39085580551340693,70
136,36878,0.39005814899919933,70
137,37590,0.39005814899919933,70
138,38302,0.39005814899919933,70
139,39014,0.39005814899919933,70
140,39726,0.39005814899919933,70
141,40438,0.39005814899919933,70
142,41150,0.39005814899919933,70
143,41862,0.39005814899919933,70
144,42574,0.39005814899919933,70
145,43286,0.39005814899919933,70
146,43998,0.39005814899919933,70
147,44710,0.39005814899919933,70
148,45422,0.39005814899919933,70
149,46134,0.39005814899919933,70
150,46846,0.39005814899919933,70
151,47558,0.39005814899919933,70
152,48270,0.39005814899919933,70
153,48982,0.39005814899919933,70
154,49694,0.39005814899919933,70
155,50406,0.39005814899919933,70
156,51118,0.3804064201270171,70
157,51830,0.3804064201270171,70
158,52542,0.3804064201270171,70
159,53254,0.36433488408840053,70
160,53966,0.36433488408840053,70
161,54678,0.36433488408840053,70
162,55390,0.36433488408840053,70
163,56102,0.36433488408840053,70
164,56814,0.36433488408840053,70
165,57526,0.36433488408840053,70
166,58238,0.36433488408840053,70
167,58950,0.36433488408840053,70
168,59662,0.3565891133479908,70
169,60374,0.32371347357330127,70
170,61086,0.32371347357330127,70
171,61798,0.32371347357330127,70
172,62510,0.30164385569938834,70
173,63222,0.30164385569938834,70
