,nfe,gd,seed
1508,179583,0.005861789080239678,20
1509,183563,0.005891084591758937,20
1510,187543,0.005871983830502895,20
1511,191523,0.005534758051079471,20
1512,195503,0.005592034288899222,20
1513,199483,0.005614513095081921,20
1514,203463,0.005535116775411595,20
1515,207443,0.005642009499181247,20
1516,211423,0.005422109485661134,20
1517,215403,0.005410082220853319,20
1518,219383,0.0054524905210986,20
1519,223363,0.005350526503455344,20
1520,227343,0.005251868025552086,20
1521,231323,0.00521023397544709,20
1522,235303,0.005217426281310616,20
1523,239283,0.005388137936497512,20
1524,243263,0.005281730955453476,20
1525,247243,0.005404634318571807,20
1526,251223,0.0050447156712440985,20
1527,100,0.20341682972005187,50
1528,200,0.12472814141460627,50
1529,300,0.11760785250636224,50
1530,400,0.09853664792092989,50
1531,500,0.09527143878640988,50
1532,600,0.08122108859492798,50
1533,700,0.06169521070777914,50
1534,800,0.05428355451678683,50
1535,900,0.05288677354043207,50
1536,1000,0.05437055785110099,50
1537,1100,0.051182514712629065,50
1538,1200,0.05467165387048868,50
1539,1300,0.05491055912770682,50
1540,1400,0.04768880223282246,50
1541,1500,0.055809305158285784,50
1542,1600,0.060012432501112094,50
1543,1700,0.05345252100768554,50
1544,1800,0.04880649331883392,50
1545,1900,0.04519563602238464,50
1546,2000,0.04652433140279846,50
1547,2100,0.04497851659764275,50
1548,2200,0.044922010899849416,50
1549,2300,0.044593139676892525,50
1550,2400,0.043199266879751314,50
1551,2500,0.04205730542571652,50
1552,2600,0.038598519349886534,50
1553,2700,0.040212968698580036,50
1554,2800,0.03793940501833597,50
1555,2900,0.03645753190550777,50
1556,3000,0.03527729784851973,50
1557,3100,0.03177655776082688,50
1558,3200,0.032397897244381156,50
1559,3300,0.0351443327016575,50
1560,3400,0.03446541531407894,50
1561,3500,0.037513829873703865,50
1562,3600,0.03802690188669459,50
1563,3700,0.03733109365562739,50
1564,3800,0.03792160913842282,50
1565,3900,0.035895194602892914,50
1566,4000,0.0354286927705793,50
1567,4100,0.030722744247679276,50
1568,4200,0.030361333704295796,50
1569,4300,0.030230400223237017,50
1570,4400,0.02910883558232694,50
1571,4500,0.028180647881339886,50
1572,4600,0.028708526359171073,50
1573,4700,0.02824820710335028,50
1574,4800,0.02919736391445586,50
1575,4900,0.028243817109323003,50
1576,5000,0.027986484408538015,50
1577,5100,0.029283039842213268,50
1578,5200,0.029447250231398187,50
1579,5300,0.030134932793904567,50
1580,5400,0.029899132136414076,50
1581,5500,0.030846552168716537,50
1582,5600,0.029203825594708573,50
1583,5700,0.029582916699782896,50
1584,5800,0.0293735729672658,50
1585,5900,0.028654063868008818,50
1586,6000,0.02946692790541647,50
1587,6100,0.02920312788753337,50
1588,6200,0.02877273887826363,50
1589,6300,0.02877273887826363,50
1590,6400,0.028790574314208717,50
1591,6500,0.029159562009773352,50
1592,6600,0.028751803334506974,50
1593,6700,0.029097635892626268,50
1594,6800,0.029004189460335058,50
1595,6900,0.02916098280727735,50
1596,7000,0.029379874900916272,50
1597,7100,0.028983484005496076,50
1598,7200,0.02851733951089403,50
1599,7300,0.028137496716529944,50
1600,7400,0.02715854674851291,50
1601,7500,0.027500617478590002,50
1602,7600,0.02681139757269879,50
1603,7700,0.026824924688497807,50
1604,7800,0.026349699500289134,50
1605,7900,0.02580307398458002,50
1606,8000,0.02609685962970924,50
1607,8100,0.025930847114712163,50
1608,8200,0.026642016081861557,50
1609,8300,0.026642016081861557,50
1610,8400,0.026659090498535723,50
1611,8500,0.02665668721795511,50
1612,8600,0.025238557706088415,50
1613,8700,0.025476562729098668,50
1614,8800,0.025691365161452834,50
1615,8900,0.024793982098270308,50
1616,9000,0.02459327966956076,50
1617,9100,0.02428875606052807,50
1618,9200,0.02495974097028507,50
1619,9300,0.024787227904959654,50
1620,9400,0.024235027636356765,50
