,nfe,hypervolume,epsilon_indicator,seed
0,100,0.03534246308776528,1.0,70
1,200,0.04240420416175478,0.7144632762690024,70
2,300,0.0591117626498628,0.7017863463073183,70
3,400,0.06406332623608146,0.7017863463073183,70
4,500,0.06915114051842354,0.7017863463073183,70
5,100,0.03691632934508087,1.0,80
6,200,0.041096164255451685,1.0,80
7,300,0.04487169103759271,1.0,80
8,400,0.05747628276748273,1.0,80
9,500,0.07356466415588082,1.0,80
10,100,0.03213573602327692,0.7236554543964091,30
11,200,0.042402021482361905,0.704505881159953,30
12,300,0.052344092135134745,0.704505881159953,30
13,400,0.07869408540661979,0.6704426474538687,30
14,500,0.08814805342704936,0.6704426474538687,30
15,100,0.041328994154589675,1.0,60
16,200,0.04461284283673551,1.0,60
17,300,0.057009313388155,1.0,60
18,400,0.0661204887365312,1.0,60
19,500,0.07358494517412492,1.0,60
20,100,0.02873932875985458,0.7003216587551087,90
21,200,0.03734190168807589,0.6732751604551646,90
22,300,0.04696186914132375,0.6732751604551646,90
23,400,0.06738648664092182,0.6732751604551646,90
24,500,0.08059031905019803,0.6540998189187719,90
25,100,0.03068799737799016,0.6769108288559329,20
26,200,0.03868966918762637,0.6769108288559329,20
27,300,0.04617098611449007,0.6769108288559329,20
28,400,0.056106615964268663,0.6769108288559329,20
29,500,0.06459381297292979,0.6805520659757434,20
30,100,0.032309420382393775,0.6907585406048292,50
31,200,0.04216322622330693,0.6785507309201492,50
32,300,0.05172407315164182,0.6785507309201492,50
33,400,0.05510035381986757,1.0,50
34,500,0.06479950442718357,1.0,50
35,100,0.02703842668192778,1.0,10
36,200,0.03515055465915474,1.0,10
37,300,0.04882742398290545,1.0,10
38,400,0.05169772649984709,1.0,10
39,500,0.06345695446581592,1.0,10
40,100,0.03922173575243993,1.0,100
41,200,0.04330308164386276,1.0,100
42,300,0.05707352163515361,0.6817637395812572,100
43,400,0.06245201138047822,0.6817637395812572,100
44,500,0.06795189287363367,0.6817637395812572,100
45,100,0.020855220800528332,0.6806893532564733,40
46,200,0.03780820016668757,1.0,40
47,300,0.046039629603997684,1.0,40
48,400,0.053907982662432324,1.0,40
49,500,0.07031741056375934,1.0,40
