,nfe,gd,seed
1405,31082,0.023649050561139476,90
1406,31746,0.023182156957127453,90
1407,32410,0.023337205119637546,90
1408,33074,0.024699050576380163,90
1409,33738,0.02494043546601932,90
1410,34402,0.026077190849360617,90
1411,35066,0.02656737335628888,90
1412,35730,0.026052411922817844,90
1413,36394,0.026522952799358044,90
1414,37058,0.026110731500504324,90
1415,37722,0.025803385929353814,90
1416,38386,0.025001042291094774,90
1417,39050,0.02497644253946802,90
1418,39714,0.02453556906754057,90
1419,40378,0.02500615789548321,90
1420,41042,0.024996004329602927,90
1421,41706,0.024561043188301802,90
1422,42370,0.024116119787765636,90
1423,43034,0.024017980648078543,90
1424,43698,0.024255672845089702,90
1425,44362,0.02461313687110427,90
1426,45026,0.024667169140514145,90
1427,45690,0.0244705328150656,90
1428,46354,0.02430340834780172,90
1429,47018,0.02393636652234122,90
1430,47682,0.023946701192073528,90
1431,48346,0.025849408541798777,90
1432,49010,0.025665998128823062,90
1433,49674,0.025674944086986458,90
1434,50338,0.026125696302413806,90
1435,51002,0.026260292798676633,90
1436,51666,0.02642867308524218,90
1437,52330,0.026192796667234307,90
1438,52994,0.026195533506042448,90
1439,53658,0.026080678927063103,90
1440,54322,0.02635789470651348,90
1441,54986,0.026323816866218014,90
1442,55650,0.026049485974212545,90
1443,56314,0.025657153889865805,90
1444,56978,0.025570146658987537,90
1445,57642,0.025447316232582725,90
1446,58306,0.02582773416471569,90
1447,58970,0.027039015105034186,90
1448,59634,0.02689088635870427,90
1449,60298,0.026474655936208406,90
1450,60962,0.026247235545692933,90
1451,61626,0.02613836943679594,90
1452,62290,0.025826127013118056,90
1453,62954,0.025907701080583507,90
1454,63618,0.025791783112018973,90
1455,64282,0.025795325110997563,90
1456,64946,0.0274173709011605,90
1457,65610,0.02765090989378335,90
1458,66274,0.028049640674272076,90
1459,66938,0.028073145863679018,90
1460,67602,0.027992682983624544,90
1461,68266,0.027748764516241097,90
1462,68930,0.02707618272039399,90
1463,69594,0.027007115305130273,90
1464,70258,0.02721324725238956,90
1465,70922,0.027259186408260458,90
1466,71586,0.02700908594220505,90
1467,72250,0.02719194672085952,90
1468,72914,0.02695606985490793,90
1469,73578,0.026795582806354468,90
1470,74242,0.026350621234648607,90
1471,74906,0.02593902819452119,90
1472,75570,0.025929889637316853,90
1473,76234,0.02599214300331756,90
1474,77930,0.025909841606558372,90
1475,79306,0.025550662336238046,90
1476,80682,0.024970169003265746,90
1477,82058,0.024305803296227696,90
1478,83434,0.023859659541105704,90
1479,84810,0.023811521214196614,90
1480,86186,0.023189620729647108,90
1481,87562,0.022594480805402408,90
1482,88938,0.022293672994414582,90
1483,90314,0.021642149310356625,90
