,nfe,gd,seed
0,100,0.14269714423912708,70
1,200,0.10328941292454732,70
2,300,0.12982653324941879,70
3,400,0.08485358532514246,70
4,500,0.0874453276500918,70
5,600,0.06969938660586847,70
6,700,0.0692852645863052,70
7,800,0.051994942450557455,70
8,900,0.06002877399131794,70
9,1000,0.04340953793838529,70
10,1100,0.03716249006737318,70
11,1200,0.0444103050845765,70
12,1300,0.04302794075128133,70
13,1400,0.03770438167468564,70
14,1500,0.03612967489530413,70
15,1600,0.03498357097040327,70
16,1700,0.03362208275583094,70
17,1800,0.036115098474250235,70
18,1900,0.03551540076455996,70
19,2000,0.03551540076455996,70
20,2100,0.035935667761565045,70
21,2200,0.037486565684574605,70
22,2300,0.0368555185624762,70
23,2400,0.03525126283157025,70
24,2500,0.03479469779995235,70
25,2600,0.03475785200161209,70
26,2700,0.034597762194072866,70
27,2800,0.034597762194072866,70
28,2900,0.03320479041685092,70
29,3000,0.03225249395640988,70
30,3100,0.033092467315816915,70
31,3200,0.032653991706296695,70
32,3300,0.03219306712852323,70
33,3400,0.0313088484807454,70
34,3500,0.03096297346803071,70
35,3600,0.033674528515608766,70
36,3700,0.031315207929293376,70
37,3800,0.03015087284356318,70
38,3900,0.029799132670925103,70
39,4000,0.03155683764732799,70
40,4100,0.03165316679866452,70
41,4200,0.03125849515362718,70
42,4300,0.03129827611585274,70
43,4400,0.03046342071033637,70
44,4500,0.02966053456496564,70
45,4600,0.028616126061141414,70
46,4700,0.02768234220360074,70
47,4800,0.027138721049835668,70
48,4900,0.027148838142748665,70
49,5000,0.027793507591687312,70
50,5100,0.02742677145872077,70
51,5200,0.027426850291252077,70
52,5300,0.02724329465503168,70
53,5400,0.02819699391619699,70
54,5500,0.027779085749994808,70
55,5600,0.029289129841359205,70
56,5700,0.028391800232075732,70
57,5800,0.028720729628239332,70
58,5900,0.028428550067198285,70
59,6000,0.027856884830314312,70
60,6100,0.02759442986141289,70
61,6200,0.023260323135272754,70
62,6300,0.022673629531107253,70
63,6400,0.02191361189003483,70
64,6500,0.021789821183177183,70
65,6600,0.02161786635018934,70
66,6700,0.020996378774526703,70
67,6800,0.02072199921466854,70
68,6900,0.020506988999126872,70
69,7000,0.02066751806528062,70
70,7100,0.020089839238039912,70
71,7200,0.020700830501695532,70
72,7300,0.020533065625136075,70
73,7400,0.02067954643381422,70
74,7500,0.020461067551613404,70
75,7600,0.020060212189610873,70
76,7700,0.020229269713021157,70
77,7800,0.01991456514795729,70
78,7900,0.0198181569070115,70
79,8000,0.01964995758028219,70
80,8100,0.01908050631342122,70
81,8200,0.01898087359244968,70
82,8300,0.01874539901334107,70
83,8400,0.018638605793171236,70
84,8500,0.018505894645679324,70
85,8600,0.01816738723915656,70
86,8700,0.017999092001779973,70
87,8800,0.018079221800275803,70
88,8900,0.0178783599944705,70
89,9000,0.018199808129041532,70
90,9100,0.0186207672244013,70
91,9200,0.018461089434606684,70
92,9300,0.018269732345310066,70
93,9400,0.018036459561226636,70
94,9500,0.017913564365873786,70
95,9600,0.017798671808464735,70
96,9700,0.017576186268923932,70
97,9800,0.01735844689934321,70
98,9900,0.01735844689934321,70
99,10408,0.01880224581042543,70
100,10952,0.019316215639482565,70
101,11496,0.01728688605552469,70
102,12040,0.016342456487519138,70
103,12584,0.015730262054020182,70
104,13128,0.015586783261116082,70
105,13672,0.01632682978023731,70
106,14216,0.015348154877314581,70
107,14760,0.014687542391225447,70
108,15304,0.014369551324675644,70
109,15848,0.014419463745201005,70
110,16392,0.014059214042599457,70
111,16936,0.013616588303525355,70
112,17480,0.013669502068389452,70
113,18024,0.01341590905786015,70
114,18568,0.013706405885437043,70
115,19112,0.012896400467665587,70
116,19656,0.012945593358314349,70
117,20200,0.011937013541093356,70
118,20744,0.012634766582185044,70
119,21288,0.013138789601745835,70
120,21832,0.013260411277429362,70
121,22376,0.013590811782314518,70
122,22920,0.013469023980228645,70
123,23464,0.013682629175287541,70
124,24008,0.0146354912758333,70
125,24552,0.014573876750776524,70
126,25096,0.014593060193805806,70
127,25640,0.014960834295514643,70
128,26184,0.015646481937358667,70
129,26728,0.016012626397525362,70
130,27272,0.015990325074254567,70
131,27816,0.016302761442866305,70
132,28360,0.016824306878401026,70
133,28904,0.0165645021109087,70
134,29448,0.01678854675721817,70
135,29992,0.017032812083147497,70
136,30536,0.017160819540021636,70
137,31080,0.01695692459421295,70
138,31624,0.017166416058274684,70
139,32168,0.017045474828898607,70
140,32712,0.016979575997969263,70
141,33256,0.017040678729697424,70
142,33800,0.017004178756597047,70
143,34344,0.017203414846932216,70
144,34888,0.017512280304559685,70
145,35432,0.017322441259378613,70
146,35976,0.017575800578117775,70
147,36520,0.01754434750581303,70
148,37064,0.017724608303545716,70
149,37608,0.017559054065562078,70
150,38152,0.017424898376375637,70
151,38696,0.017380943184865248,70
152,39240,0.017173139418753813,70
153,39784,0.01711709070608633,70
154,40328,0.016905781045425734,70
155,40872,0.017637672723180474,70
156,41416,0.018733011619342887,70
157,41960,0.018713602901654296,70
158,42504,0.018409023061085775,70
159,43048,0.01815094378795833,70
160,43592,0.01806726644309172,70
161,44136,0.01790242468935043,70
162,44680,0.017804525209628337,70
163,45224,0.017626428774751537,70
164,45768,0.017357407680784673,70
165,46312,0.017464017884873825,70
166,46856,0.017602468445903664,70
167,47400,0.017514643486319804,70
168,47944,0.01753597856526454,70
169,48488,0.01724616703079356,70
170,49032,0.01722187717581651,70
171,49576,0.017282663755687832,70
172,50120,0.017220595676480707,70
173,50664,0.017242812423813033,70
