,nfe,hypervolume,seed
0,100,4.4620322734119665e-05,70
1,200,7.050463372748759e-05,70
2,300,0.0001566941728427556,70
3,400,0.00036661945521101753,70
4,500,0.0004207884637897706,70
5,600,0.0006474565224291548,70
6,700,0.0008889660078354716,70
7,800,0.0009822962938444068,70
8,900,0.0011487285912646313,70
9,1000,0.0013089476511235795,70
10,1100,0.001334196336256658,70
11,1200,0.0014333502202028509,70
12,1300,0.0015324105530431435,70
13,1400,0.0017621322266247142,70
14,1500,0.0018308246127077235,70
15,1600,0.001977134124593241,70
16,1700,0.002004369169837433,70
17,1800,0.0020980854217407053,70
18,1900,0.0022332175745621028,70
19,2000,0.002387435810561587,70
20,2100,0.002391713329949471,70
21,2200,0.002485395760282538,70
22,2300,0.0025120129696565583,70
23,2400,0.002602507238929804,70
24,2500,0.002573673617954211,70
25,2600,0.0026081794975061036,70
26,2700,0.0026314331028299966,70
27,2800,0.002654419662166328,70
28,2900,0.0027972960821304642,70
29,3000,0.00280583931195399,70
30,3100,0.002891140397489591,70
31,3200,0.0028925370634852923,70
32,3300,0.002892635857676985,70
33,3400,0.0028931933050566983,70
34,3500,0.0029015272989809954,70
35,3600,0.002907696631995374,70
36,3700,0.0029531050434339406,70
37,3800,0.0029533513545135026,70
38,3900,0.0029639858619710134,70
39,4000,0.0029769682130155145,70
40,4100,0.002980680267011208,70
41,4200,0.0029827081837699295,70
42,4300,0.0030008527192301763,70
43,4400,0.0030008734809513484,70
44,4500,0.003000975797479045,70
45,4600,0.0030010099995432075,70
46,4700,0.0030043082393927134,70
47,4800,0.003005146318413361,70
48,4900,0.0030169780722624274,70
49,5000,0.003017597508119275,70
50,5100,0.0030728578716357263,70
51,5200,0.0030723514076058216,70
52,5300,0.003075149616069075,70
53,5400,0.0030838156779123094,70
54,5500,0.0031037356965121637,70
55,5600,0.0031038806754639936,70
56,5700,0.003117287125959438,70
57,5800,0.0031173654860060305,70
58,5900,0.0031173654860060305,70
59,6000,0.0031205967835018413,70
60,6100,0.0031205967835018413,70
61,6200,0.0031581692407926846,70
62,6300,0.0031581692407926846,70
63,6400,0.0031651478797316565,70
64,6500,0.0031863832976426485,70
65,6600,0.0031880188846073625,70
66,6700,0.0031926524668649705,70
67,6800,0.003192985865204859,70
68,6900,0.003192985865204859,70
69,7000,0.003205927495444912,70
70,7100,0.003208671776926393,70
71,7200,0.00321073678944433,70
72,7300,0.003210752776193028,70
73,7400,0.003211697854686657,70
74,7500,0.003213659943564837,70
75,7600,0.003213659943564837,70
76,7700,0.003213659943564837,70
77,7800,0.003213659943564837,70
78,7900,0.0032136941703170318,70
79,8000,0.0032186377782060325,70
80,8100,0.0032209668090688198,70
81,8200,0.003227293348894631,70
82,8300,0.003229984816935916,70
83,8400,0.0032312475684128502,70
84,8500,0.0032319310047900897,70
85,8600,0.0032327105233785755,70
86,8700,0.003247787982975277,70
87,8800,0.0032606885878589294,70
88,8900,0.003264419534192386,70
89,9000,0.003280568608081143,70
90,9100,0.0032811363854166288,70
91,9200,0.0032969822689726293,70
92,9300,0.003300925142725486,70
93,9400,0.003304525171780655,70
94,9500,0.0033097287100004092,70
95,9600,0.003309754297955458,70
96,9700,0.003364112860184934,70
97,9800,0.0033643948558461346,70
98,9900,0.0033647271996869346,70
99,10315,0.0033647271996869346,70
100,10735,0.0033765424943122692,70
101,11155,0.0033991691508451797,70
102,11575,0.003400826091510269,70
103,11995,0.003427603093159752,70
104,12415,0.003438456898124745,70
105,12835,0.003450188536353503,70
106,13255,0.0034631888085784207,70
107,13675,0.0035053327331614438,70
108,14095,0.003507196246378798,70
109,14515,0.0035226020466062272,70
110,14935,0.0035584754132745077,70
111,15355,0.0035835597785871583,70
112,15775,0.003581499943195708,70
113,16195,0.003637695399674682,70
114,16615,0.003651923261269289,70
115,17035,0.003684045110018264,70
116,17455,0.0036885422071621155,70
117,17875,0.00371205058362055,70
118,18295,0.0037400206074611523,70
119,18715,0.0037936841659584816,70
120,19135,0.0038033427372461204,70
121,19555,0.0038111600105204106,70
122,19975,0.0038063654724103573,70
123,20395,0.0038100834995373734,70
124,20815,0.0038292096302935635,70
125,21235,0.003829653079685634,70
126,21655,0.0038435557882972385,70
127,22075,0.0039021259315953714,70
128,22495,0.003914271836406091,70
129,22915,0.0039342448612389455,70
130,23335,0.003961043929240857,70
131,23755,0.003983107841818198,70
132,24175,0.003999515397350748,70
133,24595,0.004017248480831863,70
134,25015,0.0040246180635441844,70
135,25435,0.00404948189294751,70
136,25855,0.004059070173108952,70
137,26275,0.004080751004947685,70
138,26695,0.0040967336503618355,70
139,27115,0.004109354211902516,70
140,27535,0.0041242615158318206,70
141,27955,0.004165172782456001,70
142,28375,0.004217992127250851,70
143,28795,0.0042238046293305,70
144,29215,0.004249175293265786,70
145,29635,0.004246332685845844,70
146,30055,0.0043041899951443904,70
147,30475,0.00435530396864325,70
148,30895,0.004367606974510731,70
149,31315,0.004414312650761547,70
150,31735,0.004436742199127314,70
151,32155,0.004482554778680739,70
152,32575,0.004493185823208389,70
153,32995,0.0045284156209978825,70
154,33415,0.004567752963521174,70
155,33835,0.004594667634542661,70
156,34255,0.004610025247513149,70
157,34675,0.004618524510904524,70
158,35095,0.004645243176228139,70
159,35515,0.004666820386067947,70
160,35935,0.004700300571571083,70
161,36355,0.004713203687691726,70
162,36775,0.0047340239482633936,70
163,37195,0.004787038245561118,70
164,37615,0.004804299618902967,70
165,38035,0.004822366841152642,70
166,38455,0.0048311033937006535,70
167,38875,0.0048462396338345625,70
168,39295,0.0048597627497209035,70
