hydropower,atomicpowerplant,baltimore,chester,environment,recreation
-7.3835899191143515,-0.10101076476703835,-0.07150400601654734,-0.06735808468127127,0.4062921498141666,-0.9285714285714286
-7.528845015623669,-0.03665833743598998,-0.021571922067712215,-0.04261922073733132,0.4000341926124248,-0.9285714285714286
-7.044042734104427,-0.05051070197380425,-0.03674480183974707,-0.054848035912160246,0.4547139065888833,-0.8214285714285714
-7.500668185005092,-0.050095547377246086,-0.052624424971506226,-0.08775282256962659,0.4148624872804605,-0.8928571428571429
-7.007118307206864,-0.08375849443082256,-0.07770102184526201,-0.03161996375554246,0.4510950867574713,-0.8928571428571429
-7.017609437968952,-0.02141473324268835,-0.08957248663482509,-0.0735399690634566,0.4519782358703042,-0.8928571428571429
-9.04946524941276,-0.1132044459168479,-0.10455872105121666,-0.10714509979747568,0.3549226213192891,-0.9642857142857143
-7.326546171075331,-0.07294432325544233,-0.09562949329781216,-0.1003065157309311,0.4139283767846827,-0.8214285714285714
-6.976782286831247,-0.06295037446919242,-0.09070146826903731,-0.07944931902556523,0.45036935584500515,-0.8928571428571429
-7.326206010861151,-0.08680237486906732,-0.10089962619825438,-0.09064628745942245,0.4135221196910076,-0.8928571428571429
-6.930893709777396,-0.08480665198842527,-0.10044769135728732,-0.09284248191613928,0.45171911307540724,-0.8571428571428572
