hydropower,atomicpowerplant,baltimore,chester,environment,recreation
-7.633594607260459,-0.22073487712795395,-0.04226318017781817,-0.21278378844017612,0.38692017828744146,-0.9285714285714286
-7.585884336342404,-0.11616701690538987,-0.08756780230009673,-0.11810576645166787,0.37882423437075213,-0.9642857142857143
-33.02289121416826,-0.26212158101172656,-0.12742998676232845,-0.18651982293962066,0.10161807727871462,-1.0
-10.449967659346584,-0.24283188021819901,-0.23373094376953368,-0.252998636488624,0.23489432363276425,-0.8928571428571429
-21.07933174514997,-0.1275416043726858,-0.1897615963106496,-0.2545917299114476,0.12439760223338207,-0.9642857142857143
-24.732360869660777,-0.3529774967688753,-0.18675312618345938,-0.1855420330214173,0.11526208093124882,-0.9285714285714286
-26.31276825681378,-0.33846944764919,-0.3360255502632532,-0.21348526341887694,0.10303088788584704,-1.0
-13.731342079482827,-0.18795385711249107,-0.14056076242403287,-0.20895877128089435,0.21657966481309313,-0.8214285714285714
-7.583214732416445,-0.18189828084357515,-0.10157515725952383,-0.07728086162727289,0.30142967939919196,-0.8214285714285714
-18.56338548461374,-0.2015955328091996,-0.140448891765907,-0.20227955941627704,0.17708479782971973,-0.9642857142857143
-22.33658346760746,-0.21174914577765724,-0.16513260237577215,-0.10981919169558452,0.237124978148588,-1.0
-7.371634856209296,-0.2059369870423799,-0.07610826933677607,-0.08325944027836245,0.40042799057433537,-0.9285714285714286
-7.2915347447690655,-0.11874389890313836,-0.10324494595574193,-0.10853296874151973,0.3087680995482344,-0.8571428571428572
-25.18159925174924,-0.052237641303938216,-0.14508450398011777,-0.18963361204448778,0.15124078096080515,-0.9642857142857143
-28.603040952968673,-0.2511911677197626,-0.25005891889204657,-0.09691378087692655,0.1463952994746854,-0.9285714285714286
-7.509612192432495,-0.2576105475111814,-0.07154509418690781,-0.13993512782589743,0.34826652643467326,-0.9285714285714286
-32.8297578448582,-0.3385789361093695,-0.14238767658405224,-0.18812897489014765,0.10468712864142637,-0.9642857142857143
-26.42157371203872,-0.16825761751283638,-0.20938275073092968,-0.2536398049471504,0.1077170132774772,-0.9285714285714286
-38.218071075311386,-0.3091055651371013,-0.16309910524504717,-0.25735358541702297,0.13064235160516063,-0.9285714285714286
-44.70364093456785,-0.14749474396995926,-0.2123661672552444,-0.17562275609134245,0.10323524419382982,-0.9642857142857143
-7.308574375552306,-0.16863506354130356,-0.05844079405303546,-0.10364506384487113,0.4033963283221521,-0.9285714285714286
-9.095836975672615,-0.15263653949677689,-0.0893659506522706,-0.11754036303291014,0.31556968208352554,-0.8571428571428572
-29.81284320965016,-0.296298188381224,-0.19731964560354473,-0.19651291104457572,0.13264789939222632,-1.0
-8.723725639922227,-0.24446923252610706,-0.23584408013535949,-0.2591397823012132,0.2613733703759349,-0.8928571428571429
-27.83086906312002,-0.25482843852455567,-0.19433433739789993,-0.1426311750010507,0.23171097005504587,-0.9285714285714286
-19.721033690580175,-0.20457389478166618,-0.14010984551153097,-0.10482733819268968,0.2713652735658176,-0.9285714285714286
-25.70508973055814,-0.26222420855908235,-0.1586785195459516,-0.1728128571115009,0.15229207425891883,-0.9285714285714286
-28.065511816725678,-0.34973298088614735,-0.23838357670837917,-0.21653012931755478,0.10441532169651677,-0.9642857142857143
-7.41508069350164,-0.25830423025877663,-0.07147010316560679,-0.12216352709946793,0.347060668281847,-0.9642857142857143
-17.900653796136535,-0.13227413442896124,-0.13827139176764955,-0.20123500135626113,0.2044254979405913,-0.9285714285714286
-13.89773918298863,-0.19189260656582555,-0.15071206118033426,-0.21457112934011463,0.19383641542600097,-0.8928571428571429
-7.522948848037269,-0.1881259554941866,-0.05408294026204379,-0.17722668241549874,0.39320816227897637,-0.8928571428571429
-36.753383184877215,-0.2954673776532466,-0.36609442351015964,-0.3515316995733778,0.08802740133041864,-1.0
-53.49549181897595,-0.5565143439293384,-0.2301229852661026,-0.33375773793106467,0.08191449164005289,-1.0
-28.3374659307885,-0.3690562629454133,-0.2343086905899822,-0.27629147278998284,0.10109045763990111,-0.8928571428571429
-51.49965621953087,-0.4837467687296614,-0.3182830942792588,-0.3291638823184483,0.087356537074902,-1.0
-49.40473292995877,-0.4988918820637694,-0.34119152383725443,-0.3560629367435086,0.08229358749410363,-1.0
-40.349842151803294,-0.3170377596373496,-0.19132367754807286,-0.18796096256281453,0.1347912372774203,-0.8928571428571429
-29.12439783868879,-0.25138478427318794,-0.25023822052916506,-0.09693589335537556,0.12597656213798972,-0.8928571428571429
-22.817684013789997,-0.2521457377140418,-0.13974686473133813,-0.17748796696386127,0.22770167812207692,-0.9285714285714286
