,,0,1,2,3,4,5
100,0,-78.12249692358495,-0.9929438287126194,-0.9308898978700977,-0.9673142442327646,0.10672528282574308,-1.0
100,1,-79.26078362392497,-0.9570659396564367,-0.8549085505578846,-0.9045213433231646,0.101882176408459,-1.0
100,2,-76.63577761506015,-0.9977169617670032,-0.956321678049898,-0.9827803576328011,0.11047371007467797,-1.0
200,0,-79.56874634136656,-0.9958651210076452,-0.8852655586285906,-0.9220796678548046,0.10669622069091103,-1.0
200,1,-79.20366768084843,-0.9979671664679215,-0.9603956184474938,-0.9849730293137051,0.10822606787669253,-1.0
300,0,-81.1135492618919,-0.9980439809191913,-0.9607467244102087,-0.9838856824431238,0.10551995566245907,-1.0
400,0,-81.16848698442776,-0.998065012930273,-0.9610050840336049,-0.9841770227621955,0.10765318961828058,-1.0
500,0,-81.16848698442776,-0.998065012930273,-0.9610050840336049,-0.9841770227621955,0.10765318961828058,-1.0
600,0,-81.16848698442776,-0.998065012930273,-0.9610050840336049,-0.9841770227621955,0.10765318961828058,-1.0
700,0,-81.73622583358409,-0.9986172004230888,-0.9675723477232618,-0.9887446362896096,0.11229413181577856,-1.0
800,0,-81.73622583358409,-0.9986172004230888,-0.9675723477232618,-0.9887446362896096,0.11229413181577856,-1.0
900,0,-83.00632199137522,-0.9964308160015721,-0.9643513394335097,-0.9971141855553403,0.10472955852950072,-1.0
1000,0,-83.00632199137522,-0.9964308160015721,-0.9643513394335097,-0.9971141855553403,0.10472955852950072,-1.0
