hydropower,atomicpowerplant,baltimore,chester,environment,recreation
-37.230809463911676,-0.8622601544365674,-0.7678801778954448,-0.73696967892947,0.35955981075904514,-0.9642857142857143
-33.1596352115499,-0.9752857880714957,-0.8311711685545222,-0.8195485430385082,0.3641947522987446,-0.9642857142857143
-37.301385848173176,-0.7179832629196115,-0.7388199194036393,-0.6527956857265191,0.35856881029259324,-1.0
-16.547862710355897,-0.831386074869235,-0.3500751007034893,-0.91563591839933,0.4018222130190763,-0.9642857142857143
-52.18040785388063,-0.6494238428422082,-0.82143417684467,-0.8574122058475242,0.20859538933718905,-1.0
-45.05203515812231,-0.9221952721306887,-0.3823523670023231,-0.5284842996699732,0.3023706628162265,-0.9642857142857143
-53.67159607939213,-0.9800576545373434,-0.5542963049743572,-0.7809186553465389,0.20866140044065054,-0.9285714285714286
-53.49837222031341,-0.9776136595828188,-0.548070914849503,-0.7793113883268249,0.21129468300516657,-0.9642857142857143
-34.09063888659102,-0.813560394371213,-0.8146921521253445,-0.8329841272196367,0.371914720534477,-1.0
-37.1085392183329,-0.874361687204383,-0.8070056896460791,-0.5595908851128303,0.36319935883796495,-0.9642857142857143
-45.01564739670313,-0.5869049899518758,-0.4762304787224148,-0.8095531873357602,0.30257149958440727,-1.0
-16.525146576519777,-0.9507513240986972,-0.33183613852739646,-0.9310522520231961,0.40120147956357016,-1.0
-40.1147444289707,-0.23137384598659885,-0.15064173139260004,-0.16992290710493566,0.3501716061527106,-0.8214285714285714
-37.073074117999894,-0.7025945700444068,-0.5958496261923457,-0.7555257700987397,0.3517050401084633,-1.0
-43.835427124432115,-0.9336161998671301,-0.6029780494890902,-0.6915746801350282,0.30776157895230094,-0.9642857142857143
-6.497482653699245,-0.5065790210907097,-0.8604967996763552,-0.3753789781044363,0.450127814417073,-1.0
-38.299635937639266,-0.5807529632051698,-0.8333069196751429,-0.7445981253030074,0.3533868765857982,-0.9642857142857143
-37.799602969516386,-0.8835812442507543,-0.7178490768391526,-0.6444819245290818,0.3557168404603023,-0.9642857142857143
-38.128821227582456,-0.8401171574835877,-0.7262008766661334,-0.6518231170158112,0.3559728994605558,-0.9642857142857143
-45.694200765615896,-0.17125952748539222,-0.13873898231970497,-0.1916419257712553,0.3104812441752937,-1.0
-52.25098989690697,-0.2819225001558407,-0.16249968466328438,-0.23686799700148356,0.2516871925863803,-1.0
-57.673351105877046,-0.6653010294937274,-0.867799854314953,-0.7600460372178963,0.15064589725955543,-1.0
-52.214820284929466,-0.37033708866033543,-0.16545082087323612,-0.19386823964073094,0.2512886847779095,-0.9285714285714286
-51.92219316225692,-0.30268756734382835,-0.16968882521241058,-0.20121754656568464,0.2523049111413532,-1.0
-54.44245371464952,-0.7061792072956754,-0.6764509893435802,-0.6853868901909599,0.2013289290079354,-0.8928571428571429
-7.728246050041215,-0.5343749419046383,-0.8018283205050821,-0.8477039249789187,0.45093590882491363,-0.9642857142857143
-22.721455210741663,-0.9171863300483356,-0.5950360593712725,-0.8813781462625119,0.4016284278751274,-1.0
