,,0,1,2,3,4,5
100,0,80.9416352068988,0.8165670018577743,0.6782777449999757,0.8136150859267347,0.09999013027849375,1.0
100,1,79.45156148722168,0.9628122052412216,0.728802855108427,0.8357864771327627,0.09483648815840927,1.0
100,2,80.72887625374727,0.9885782039419324,0.9266770266549077,0.967792821908491,0.10443268724837731,1.0
100,3,77.021778410058,0.9459029017225024,0.8559461497222719,0.7636387712268748,0.09803793526091949,1.0
100,4,77.52430601596332,0.9649416520923847,0.8237750556996132,0.9032601979919638,0.09302046631896471,1.0
200,0,80.9416352068988,0.8165670018577743,0.6782777449999757,0.8136150859267347,0.09999013027849375,1.0
200,1,79.45156148722168,0.9628122052412216,0.728802855108427,0.8357864771327627,0.09483648815840927,1.0
200,2,77.021778410058,0.9459029017225024,0.8559461497222719,0.7636387712268748,0.09803793526091949,1.0
200,3,78.95058950278673,0.9736082428831963,0.9509617620336847,0.9164447494310646,0.10438152982527124,1.0
200,4,78.97323507390244,0.9826350103898673,0.8457644195344354,0.9095083952491942,0.09799668420212021,1.0
200,5,80.9907642409324,0.9885784990303107,0.9266071069879432,0.9510377670914172,0.10469585337304234,1.0
200,6,76.7119821358241,0.9790049371171541,0.9077608014858426,0.7130757943596157,0.09945870235743365,1.0
300,0,78.95058950278673,0.9736082428831963,0.9509617620336847,0.9164447494310646,0.10438152982527124,1.0
300,1,81.10097555663903,0.9901621321907049,0.9280663796135833,0.9630665812392312,0.09935253415704888,1.0
400,0,78.95058950278673,0.9736082428831963,0.9509617620336847,0.9164447494310646,0.10438152982527124,1.0
400,1,81.10097555663903,0.9901621321907049,0.9280663796135833,0.9630665812392312,0.09935253415704888,1.0
400,2,78.09515259184064,0.9993490895391295,0.9816721355099732,0.991251750080292,0.10939356511353321,1.0
500,0,81.10097555663903,0.9901621321907049,0.9280663796135833,0.9630665812392312,0.09935253415704888,1.0
500,1,78.09515259184064,0.9993490895391295,0.9816721355099732,0.991251750080292,0.10939356511353321,1.0
500,2,83.25531092103384,0.995290015591168,0.9445571752228699,0.9749252577674303,0.1093929416598708,1.0
500,3,81.78593633369744,0.9930156349415337,0.9584748859814496,0.9438797159850364,0.10728787047851211,1.0
500,4,76.37617331520347,0.9962606563643199,0.9787745683969302,0.9906492919037274,0.09986094871218655,1.0
600,0,81.10097555663903,0.9901621321907049,0.9280663796135833,0.9630665812392312,0.09935253415704888,1.0
600,1,83.25531092103384,0.995290015591168,0.9445571752228699,0.9749252577674303,0.1093929416598708,1.0
600,2,81.78593633369744,0.9930156349415337,0.9584748859814496,0.9438797159850364,0.10728787047851211,1.0
600,3,76.37617331520347,0.9962606563643199,0.9787745683969302,0.9906492919037274,0.09986094871218655,1.0
600,4,81.30285220831489,0.9975538785885005,0.9632100821525894,0.9850881138496977,0.11229189221338133,1.0
700,0,81.10097555663903,0.9901621321907049,0.9280663796135833,0.9630665812392312,0.09935253415704888,1.0
700,1,83.25531092103384,0.995290015591168,0.9445571752228699,0.9749252577674303,0.1093929416598708,1.0
700,2,81.78593633369744,0.9930156349415337,0.9584748859814496,0.9438797159850364,0.10728787047851211,1.0
700,3,76.37617331520347,0.9962606563643199,0.9787745683969302,0.9906492919037274,0.09986094871218655,1.0
700,4,81.3506752705016,0.9967886775749412,0.9619937479225128,0.9672612424382989,0.10832234972701793,1.0
800,0,81.10097555663903,0.9901621321907049,0.9280663796135833,0.9630665812392312,0.09935253415704888,1.0
800,1,76.37617331520347,0.9962606563643199,0.9787745683969302,0.9906492919037274,0.09986094871218655,1.0
800,2,81.95486862339352,0.9966429006553746,0.9628520265452307,0.9841621703861976,0.10756731068480724,1.0
800,3,83.38986462367646,0.9952918305466522,0.94415130594277,0.9749353068138886,0.10939298092841389,1.0
900,0,76.37617331520347,0.9962606563643199,0.9787745683969302,0.9906492919037274,0.09986094871218655,1.0
900,1,81.95486862339352,0.9966429006553746,0.9628520265452307,0.9841621703861976,0.10756731068480724,1.0
900,2,83.38986462367646,0.9952918305466522,0.94415130594277,0.9749353068138886,0.10939298092841389,1.0
900,3,81.9531859603697,0.9959318767629353,0.948885818296487,0.9852122020991246,0.0972402002820665,1.0
1000,0,76.37617331520347,0.9962606563643199,0.9787745683969302,0.9906492919037274,0.09986094871218655,1.0
1000,1,81.95486862339352,0.9966429006553746,0.9628520265452307,0.9841621703861976,0.10756731068480724,1.0
1000,2,83.38986462367646,0.9952918305466522,0.94415130594277,0.9749353068138886,0.10939298092841389,1.0
1000,3,81.9531859603697,0.9959318767629353,0.948885818296487,0.9852122020991246,0.0972402002820665,1.0
1100,0,83.38986462367646,0.9952918305466522,0.94415130594277,0.9749353068138886,0.10939298092841389,1.0
1100,1,81.9531859603697,0.9959318767629353,0.948885818296487,0.9852122020991246,0.0972402002820665,1.0
